Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
128,1.0721649484536082,0,0,0,0,0,0,0,0,110,116,116,110,114,114,114,108,104,104,146,559,559,171,219,236,256,117,104,540,66.99728965759277,460.00194549560547,343.0013656616211,275.00128746032715,105.00764846801758,114.98856544494629,118.00050735473633,116.00160598754883,66.00332260131836,16.000747680664062,16.00193977355957
256,1.0185185185185186,0,0,0,0,0,0,0,0,181,235,249,181,181,181,181,183,165,165,306,2393,1959,354,373,478,533,224,165,2262,161.00049018859863,4416.022777557373,1738.976001739502,1055.9983253479004,160.9971523284912,192.002534866333,300.9984493255615,249.9997615814209,114.00032043457031,18.001556396484375,14.996528625488281
64,1.118421052631579,0,100,100,100,100,100,100,0,97,85,85,85,85,85,85,89,85,85,153,144,125,100,100,103,107,121,85,1024,77.99911499023438,138.99922370910645,90.99864959716797,665.9970283508301,45.000314712524414,53.998708724975586,47.00422286987305,53.99799346923828,62.99757957458496,14.9993896484375,12.002229690551758
64,1.0169491525423728,100,100,100,100,100,100,100,0,60,60,60,60,60,60,60,64,60,60,64,85,80,64,64,65,66,75,60,503,35.99882125854492,81.00199699401855,84.00177955627441,230.99899291992188,30.999422073364258,36.99970245361328,33.99944305419922,33.99920463562012,35.00175476074219,12.997865676879883,12.998819351196289
32,1.5862068965517242,0,100,100,100,100,100,100,100,50,46,46,46,46,46,46,46,46,46,348,84,340,186,94,84,84,278,46,248,169.9988842010498,65.00124931335449,208.9998722076416,124.99690055847168,97.00250625610352,54.999589920043945,35.99905967712402,39.99900817871094,217.00096130371094,21.99840545654297,14.000177383422852
64,1.0188679245283019,100,0,0,100,100,100,100,0,54,56,56,54,54,54,54,60,54,54,56,85,93,57,60,60,61,71,54,128,36.99445724487305,81.00152015686035,69.0000057220459,55.00078201293945,26.999473571777344,27.013778686523438,26.988983154296875,36.997079849243164,46.00048065185547,13.996362686157227,13.005733489990234
256,1.018796992481203,0,0,0,0,0,0,0,0,571,331,515,399,395,383,385,605,271,271,13750,2321,12409,9132,8749,8506,8346,7951,271,4222,6559.966325759888,3648.9951610565186,16184.002161026001,2980.99422454834,4653.000354766846,4616.999626159668,4176.0008335113525,4357.999801635742,4066.00022315979,17.975330352783203,17.003774642944336
256,1.0043668122270741,0,0,0,0,0,0,0,0,256,264,264,288,252,250,252,270,230,230,1135,2952,1832,1107,708,578,573,697,230,629,553.9999008178711,5799.998760223389,1989.9992942810059,291.99671745300293,535.0003242492676,371.99997901916504,342.00167655944824,330.0018310546875,384.99975204467773,13.99993896484375,19.00172233581543
128,1.0084033613445378,0,0,0,0,0,0,0,0,140,124,124,122,122,122,122,140,120,120,342,352,336,170,177,183,205,175,120,1679,188.99869918823242,249.9990463256836,220.0019359588623,725.003719329834,90.99483489990234,79.00142669677734,104.99930381774902,91.00461006164551,116.00208282470703,11.999130249023438,12.004852294921875
32,1.2272727272727273,100,100,100,100,100,100,100,100,27,27,27,27,27,27,27,27,27,27,29,37,37,29,28,33,40,31,27,92,11.998653411865234,30.99679946899414,28.99932861328125,47.00112342834473,18.000364303588867,22.998332977294922,16.002178192138672,22.99952507019043,13.998985290527344,12.999534606933594,12.001514434814453
64,1.0114942528735633,0,100,100,100,100,100,100,100,110,88,88,88,88,88,88,88,88,88,191,110,108,100,99,100,103,104,88,95,115.00000953674316,85.9982967376709,67.0003890991211,52.99997329711914,45.99928855895996,42.999267578125,54.999589920043945,61.00130081176758,55.00197410583496,13.997316360473633,11.000394821166992
96,1.0617283950617284,0,100,100,100,100,100,100,0,114,86,86,86,86,86,86,90,86,86,413,123,102,97,90,91,97,125,86,588,225.01373291015625,110.98313331604004,73.00090789794922,426.96356773376465,45.00079154968262,49.00527000427246,59.996604919433594,43.99895668029785,57.00254440307617,13.99850845336914,12.000560760498047
256,1.0269230769230768,0,0,0,0,0,0,0,0,283,353,353,295,297,283,277,317,267,267,692,3854,3062,777,815,715,702,675,267,10461,341.9668674468994,9164.000988006592,3229.0029525756836,8646.008014678955,385.9875202178955,416.0020351409912,369.9970245361328,344.00439262390137,372.99585342407227,17.002582550048828,12.99738883972168
64,1.5208333333333333,0,0,0,0,0,0,0,0,83,85,81,85,87,87,85,89,73,73,439,740,466,456,468,492,495,296,73,1198,242.0034408569336,715.9967422485352,426.9990921020508,541.001558303833,245.99957466125488,256.99830055236816,247.9994297027588,241.00255966186523,160.996675491333,13.000965118408203,12.99595832824707
64,1.0227272727272727,0,100,100,0,100,100,100,0,49,45,45,47,45,45,45,49,45,45,58,94,86,51,60,81,86,67,45,274,39.99805450439453,65.0029182434082,65.99760055541992,200.99925994873047,27.00209617614746,27.001619338989258,35.99739074707031,38.00463676452637,28.995513916015625,12.004613876342773,14.999628067016602
32,1.0555555555555556,0,0,0,100,100,100,100,100,21,21,21,19,19,19,19,19,19,19,21,25,23,19,19,19,19,20,19,23,12.995004653930664,21.000146865844727,13.002872467041016,9.00125503540039,7.995128631591797,8.002042770385742,9.999275207519531,10.000944137573242,7.99870491027832,15.005111694335938,12.998819351196289
96,1.0196078431372548,0,0,0,0,100,100,100,0,62,54,54,54,52,52,52,60,52,52,106,92,73,59,61,65,68,66,52,52,46.998023986816406,60.00185012817383,36.99684143066406,23.999452590942383,32.99522399902344,32.00197219848633,30.00354766845703,32.994985580444336,28.00440788269043,12.03012466430664,11.968851089477539
128,1.0062893081761006,0,0,0,0,100,100,100,0,166,162,162,166,160,160,160,182,160,160,773,580,548,560,287,262,269,629,160,433,362.0038032531738,545.9954738616943,398.9999294281006,214.99872207641602,272.9978561401367,142.00067520141602,126.9998550415039,125.00309944152832,324.9962329864502,13.996362686157227,14.001607894897461
96,1.125,0,0,0,0,0,0,0,0,67,65,65,65,65,65,65,69,63,63,87,136,123,89,97,109,113,97,63,380,44.9981689453125,90.00039100646973,64.99862670898438,195.00112533569336,51.99861526489258,54.99911308288574,50.00138282775879,55.00054359436035,46.998023986816406,20.001649856567383,17.000198364257812
32,1.0333333333333334,100,100,100,100,100,100,100,100,31,31,31,31,31,31,31,31,31,31,31,43,41,31,31,31,32,31,31,175,17.993688583374023,29.000520706176758,23.99754524230957,74.00155067443848,15.000581741333008,14.997482299804688,17.001628875732422,15.000581741333008,16.000747680664062,23.000478744506836,21.004915237426758
256,1.0163934426229508,0,0,0,0,0,0,0,0,222,222,222,210,212,208,208,228,186,186,574,1569,1290,533,524,518,524,378,186,1635,310.99557876586914,2215.000867843628,1003.9985179901123,823.0011463165283,265.99597930908203,319.0000057220459,302.0012378692627,282.0003032684326,209.0003490447998,18.001794815063477,15.995979309082031
64,1.4545454545454546,0,100,0,0,0,100,100,0,100,80,90,94,86,80,80,102,80,80,283,148,194,188,175,134,129,216,80,1042,178.00068855285645,140.99931716918945,159.00397300720215,483.99949073791504,88.99974822998047,86.00521087646484,63.996076583862305,63.99989128112793,119.99940872192383,20.001649856567383,15.00844955444336
64,1.0476190476190477,0,0,0,0,0,0,0,0,76,68,68,68,68,68,68,70,66,66,120,91,81,68,68,69,70,119,66,104,70.99628448486328,69.0009593963623,76.99966430664062,57.999610900878906,32.99975395202637,32.00340270996094,37.99748420715332,39.998531341552734,64.00179862976074,11.999130249023438,14.999866485595703
32,1.088235294117647,0,100,100,0,0,100,100,0,45,37,37,39,39,37,37,39,37,37,199,49,45,57,43,42,43,45,37,156,125.00190734863281,39.995670318603516,25.998592376708984,63.001394271850586,23.999452590942383,19.00029182434082,17.999887466430664,26.000022888183594,20.000219345092773,18.99862289428711,10.999202728271484
64,1.0972222222222223,0,100,0,100,100,100,100,0,117,79,117,79,79,79,79,117,79,79,265,121,668,91,87,85,85,268,79,1173,119.0025806427002,99.99847412109375,452.9998302459717,913.0027294158936,45.99761962890625,58.99786949157715,43.00403594970703,36.99755668640137,134.99879837036133,17.999887466430664,16.999244689941406
64,1.140625,0,100,100,100,100,100,100,0,81,73,73,73,73,73,73,91,73,73,108,162,133,104,111,112,120,117,73,552,55.99641799926758,135.9994411468506,101.00150108337402,314.99767303466797,61.99836730957031,55.9992790222168,53.00545692443848,63.99655342102051,89.99824523925781,12.000799179077148,11.999368667602539
32,1.027027027027027,0,100,100,100,100,100,100,100,42,38,38,38,38,38,38,38,38,38,42,43,42,38,38,38,39,43,38,250,22.002458572387695,37.99748420715332,26.001930236816406,117.99931526184082,17.00115203857422,17.000675201416016,15.997886657714844,18.002986907958984,17.99917221069336,15.001773834228516,13.001203536987305
32,1.0303030303030303,100,100,100,100,100,100,100,100,34,34,34,34,34,34,34,34,34,34,34,38,37,34,34,34,34,41,34,274,17.998218536376953,26.012897491455078,20.991802215576172,118.99828910827637,16.002655029296875,19.99807357788086,22.000789642333984,15.009641647338867,20.990610122680664,11.99960708618164,11.99960708618164
256,1.00398406374502,0,0,0,0,0,0,0,0,318,304,306,264,282,282,282,294,252,252,1397,2148,1978,653,605,624,616,605,252,908,665.9979820251465,3639.000177383423,1580.0037384033203,590.0044441223145,585.9911441802979,519.9639797210693,402.99296379089355,443.0050849914551,423.9954948425293,13.005495071411133,14.993667602539062
32,1.0384615384615385,100,100,100,100,100,100,100,100,27,27,27,27,27,27,27,27,27,27,29,40,35,27,30,33,38,38,27,93,22.003889083862305,24.996280670166016,18.00060272216797,41.002750396728516,21.000385284423828,23.001909255981445,21.997928619384766,30.00044822692871,31.003236770629883,13.996124267578125,18.000125885009766
256,1.0033003300330032,0,0,0,0,0,0,0,0,388,412,412,390,336,328,326,432,304,304,1598,3518,2679,1534,1427,1019,1015,1279,304,2511,816.0040378570557,11516.003370285034,3518.120288848877,1085.0028991699219,763.9992237091064,590.9960269927979,491.50848388671875,439.00036811828613,648.9992141723633,25.00009536743164,24.997711181640625
32,1.037037037037037,100,100,100,100,100,100,100,100,28,28,28,28,28,28,28,28,28,28,28,33,32,28,28,28,28,30,28,28,13.997077941894531,30.000925064086914,28.000831604003906,16.997814178466797,14.999866485595703,10.999679565429688,13.000965118408203,12.000083923339844,14.005422592163086,14.001131057739258,9.998798370361328
128,1.008130081300813,100,100,100,100,100,100,100,0,124,124,124,124,124,124,124,126,124,124,146,407,382,159,168,175,346,147,124,2392,80.00016212463379,360.004186630249,281.9974422454834,1171.9987392425537,101.99975967407227,102.99849510192871,109.00092124938965,173.0036735534668,69.0011978149414,10.985374450683594,10.00070571899414
128,1.1097560975609757,0,0,0,0,0,0,0,0,107,107,107,99,97,99,101,101,91,91,513,266,429,302,266,252,247,284,91,642,262.9966735839844,244.99917030334473,259.0010166168213,445.00017166137695,147.0050811767578,114.99547958374023,110.99839210510254,107.00011253356934,129.00352478027344,15.002012252807617,11.997222900390625
96,1.0142857142857142,0,0,0,0,0,0,0,0,85,79,81,75,75,75,75,77,71,71,216,178,173,104,100,99,99,105,71,71,99.00021553039551,124.00102615356445,103.00397872924805,28.998374938964844,49.001455307006836,66.99991226196289,58.00032615661621,82.0009708404541,59.998512268066406,13.002395629882812,12.99738883972168
96,1.0121951219512195,0,100,100,100,100,100,100,0,93,83,83,83,83,83,83,89,83,83,248,140,129,93,97,101,104,114,83,649,139.00351524353027,99.99608993530273,77.99959182739258,260.99538803100586,42.00124740600586,44.997453689575195,41.99957847595215,57.001590728759766,70.9991455078125,21.992206573486328,18.002986907958984
