From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
maze,maze512-4-4.png,300x300,1.0965250965250966,0,0,0,0,0,0,0,0,338,356,362,356,356,356,334,392,284,260,2192,4749,3598,2402,2373,2335,2241,1021,284,6273,240.02814292907715,2111.2987995147705,1541.5899753570557,522.5496292114258,256.0703754425049,250.55456161499023,246.018648147583,228.5759449005127,123.51870536804199,1289.8917198181152,1288.8305187225342
maze,maze512-4-5.png,300x300,1.1065759637188208,0,0,0,0,0,0,0,0,626,604,600,654,600,648,640,736,488,442,2942,9445,9076,2883,2314,2577,2479,2188,488,948,565.7165050506592,9555.500268936157,7243.277549743652,72.51167297363281,284.0311527252197,226.5324592590332,254.24432754516602,247.60675430297852,220.06940841674805,1955.1520347595215,1714.9155139923096
maze,maze512-4-6.png,300x300,1.2213740458015268,0,0,0,0,0,0,0,0,172,206,210,168,170,170,170,174,160,146,656,1250,1196,634,607,599,604,636,160,1434,73.51136207580566,357.5620651245117,345.08824348449707,142.03572273254395,62.996864318847656,59.513092041015625,59.51285362243652,58.999061584472656,62.51096725463867,1233.2899570465088,1169.2054271697998
maze,maze512-4-7.png,300x300,1.2032967032967032,0,0,0,0,0,0,0,0,229,343,309,237,245,303,301,251,219,191,715,3889,3342,821,1010,1403,1402,490,219,4308,91.51625633239746,1715.98482131958,1293.9212322235107,341.07089042663574,81.01224899291992,97.52511978149414,146.0423469543457,142.52638816833496,49.54195022583008,1483.314037322998,1161.2739562988281
maze,maze512-4-8.png,300x300,1.0833333333333333,0,0,0,0,0,0,0,0,109,167,125,105,105,105,105,113,91,85,220,807,643,224,231,238,256,182,91,92,23.99730682373047,179.03494834899902,118.51286888122559,7.024288177490234,23.512840270996094,23.987531661987305,24.00970458984375,26.996374130249023,18.51487159729004,1305.2926063537598,1242.2614097595215
maze,maze512-4-9.png,300x300,1.083815028901734,0,0,0,0,0,0,0,0,435,577,593,435,427,427,427,469,375,353,2660,20255,11829,2670,2377,2371,2409,1604,375,12040,285.5396270751953,23143.747568130493,9377.096176147461,977.2388935089111,267.06695556640625,233.53815078735352,235.02540588378906,237.55812644958496,168.5349941253662,1300.774335861206,1211.3230228424072
maze,maze512-8-0.png,300x300,1.2673992673992673,0,0,0,0,0,0,0,0,368,406,410,386,364,396,366,376,346,284,1290,4749,4987,2132,1871,2410,2073,960,346,5668,166.5170192718506,3087.7976417541504,3801.8786907196045,700.0882625579834,231.05669021606445,208.03046226501465,266.5588855743408,243.59893798828125,105.5598258972168,1327.704906463623,1266.8366432189941
maze,maze512-8-2.png,300x300,1.0817120622568093,0,0,0,0,0,0,0,0,326,352,354,282,294,294,296,344,278,258,1913,4017,3669,973,1017,992,962,785,278,560,231.05454444885254,1884.1552734375,1667.6356792449951,44.00372505187988,99.51114654541016,101.57465934753418,99.51257705688477,97.56207466125488,81.55393600463867,1367.4054145812988,1280.808448791504
maze,maze512-8-3.png,300x300,1.0960451977401129,0,0,0,0,0,0,0,0,220,318,306,228,226,228,228,238,194,182,497,3004,3181,578,640,656,665,434,194,1215,59.003591537475586,1257.7102184295654,1230.3187847137451,94.50650215148926,59.00454521179199,64.51296806335449,67.00420379638672,67.51132011413574,46.5388298034668,1604.3236255645752,1130.5227279663086
maze,maze512-8-4.png,300x300,1.3080808080808082,0,0,0,0,0,0,0,0,265,357,361,261,249,255,261,277,259,215,661,3197,3009,722,849,907,960,455,259,2714,70.5108642578125,2109.96413230896,1650.9921550750732,235.57162284851074,77.99458503723145,90.52491188049316,98.54578971862793,97.52655029296875,47.52206802368164,1384.9318027496338,1230.640172958374
