From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
street,NewYork_1_512.png,300x300,1.1210191082802548,0,0,0,0,0,0,0,0,228,296,294,228,248,258,274,240,176,176,998,3093,4160,898,1082,1617,1784,736,176,1764,146.51203155517578,3017.7109241485596,3250.1442432403564,153.5937786102295,97.51677513122559,113.16657066345215,164.79086875915527,182.10601806640625,75.5159854888916,1302.1836280822754,1410.3548526763916
street,NewYork_2_1024.png,300x300,1.023872679045093,0,0,0,0,0,0,0,0,398,750,648,422,416,422,420,416,386,386,2159,35305,23977,2461,2384,2525,2670,946,386,18708,268.5537338256836,333712.0454311371,145405.61366081238,1801.6266822814941,266.04676246643066,254.56619262695312,267.3783302307129,295.6202030181885,109.56716537475586,1418.3852672576904,1234.224796295166
street,NewYork_2_256.png,256x256,1.0309278350515463,0,0,0,0,0,0,0,0,310,526,496,312,312,318,314,338,300,300,645,7542,4708,668,747,999,667,536,300,2304,85.52289009094238,16031.802654266357,6164.783239364624,189.0394687652588,72.53265380859375,84.50770378112793,111.52863502502441,79.010009765625,58.51602554321289,809.3523979187012,814.2449855804443
street,NewYork_2_512.png,300x300,1.2112068965517242,0,0,0,0,0,0,0,0,351,521,487,347,363,369,373,383,281,281,2020,5429,4777,1951,2094,2181,2447,1060,281,7140,313.59028816223145,8328.501224517822,3755.5301189422607,589.7641181945801,214.0214443206787,218.0492877960205,221.5869426727295,271.55113220214844,109.56406593322754,1325.362205505371,1315.4842853546143
street,Paris_0_1024.png,300x300,1.0041152263374487,0,0,0,0,0,0,0,0,264,500,382,254,294,256,296,264,244,244,384,4511,4480,360,653,658,692,349,244,7668,53.99513244628906,6047.407865524292,5402.645587921143,668.2674884796143,42.97351837158203,76.54404640197754,72.00908660888672,77.53992080688477,45.63641548156738,1444.3013668060303,1140.3310298919678
street,Paris_0_256.png,256x256,1.0035971223021583,0,0,0,0,0,0,0,0,315,421,427,355,357,365,371,355,279,279,1582,6040,5553,1852,2121,2360,2471,1098,279,8069,205.0344944000244,9239.850044250488,7657.8052043914795,681.6627979278564,197.0667839050293,229.62307929992676,245.0563907623291,256.5193176269531,116.52541160583496,753.1781196594238,740.2374744415283
street,Paris_0_512.png,300x300,1.1428571428571428,0,0,0,0,0,0,0,0,286,516,520,288,296,294,298,294,264,264,2340,13240,11359,2577,2838,2861,2931,1465,264,5579,287.5831127166748,34449.49221611023,22364.83907699585,523.3347415924072,256.58512115478516,285.0825786590576,287.62054443359375,305.6063652038574,153.07378768920898,1426.3334274291992,1193.3202743530273
street,Paris_1_1024.png,300x300,1.0316455696202531,0,0,0,0,0,0,0,0,197,285,231,199,201,191,187,207,163,161,3318,6060,5003,2239,2145,2286,2019,1640,163,1631,365.06056785583496,7132.484912872314,2800.224781036377,135.53547859191895,229.53534126281738,227.09250450134277,256.58297538757324,267.05384254455566,194.75293159484863,1539.4015312194824,1180.3762912750244
street,Paris_1_256.png,256x256,1.3222222222222222,0,0,0,0,0,0,0,0,457,571,715,467,465,461,455,473,357,357,4277,6394,10734,4450,4583,4624,4750,3411,357,10065,479.7046184539795,8341.54725074768,20294.140338897705,964.6399021148682,457.62062072753906,469.6359634399414,452.07881927490234,490.6187057495117,344.58231925964355,937.5064373016357,989.2716407775879
street,Paris_1_512.png,300x300,1.0036496350364963,0,0,0,0,0,0,0,0,311,451,439,319,359,359,355,421,275,275,1187,6865,5366,1518,1118,1044,976,848,275,8358,218.05167198181152,9197.87573814392,6316.3206577301025,895.8370685577393,171.0643768310547,140.5313014984131,129.00018692016602,106.5220832824707,101.52173042297363,1369.9941635131836,1679.6066761016846
